Home,Away
Blackburn Rovers,Coventry City
Bristol City,Norwich City
Derby County,Oxford United
Hull City,Birmingham City
Millwall,Queens Park Rangers
Portsmouth,Leicester City
Preston North End,West Bromwich Albion
Sheffield Wednesday,Charlton Athletic
Swansea City,Southampton
Watford,Sheffield United
Wrexham,Stoke City
Ipswich Town,Middlesbrough
Coventry City,Portsmouth
Leicester City,Hull City
Norwich City,Derby County
Oxford United,Wrexham
Queens Park Rangers,Swansea City
Southampton,Bristol City
Stoke City,Millwall
West Bromwich Albion,Watford
Birmingham City,Preston North End
Charlton Athletic,Ipswich Town
Middlesbrough,Sheffield Wednesday
Sheffield United,Blackburn Rovers
Leicester City,Millwall
Birmingham City,Bristol City
Charlton Athletic,Hull City
Middlesbrough,Watford
Norwich City,Swansea City
Oxford United,Sheffield Wednesday
Queens Park Rangers,Derby County
Sheffield United,Preston North End
Stoke City,Portsmouth
West Bromwich Albion,Ipswich Town
Coventry City,Wrexham
Southampton,Ipswich Town
Blackburn Rovers,Leicester City
Bristol City,Stoke City
Derby County,Sheffield United
Hull City,Norwich City
Ipswich Town,Queens Park Rangers
Millwall,Oxford United
Portsmouth,Birmingham City
Preston North End,Southampton
Sheffield Wednesday,West Bromwich Albion
Swansea City,Charlton Athletic
Watford,Coventry City
Wrexham,Middlesbrough
