Date,Status,Home,,Away
02/05/2026,12.30pm,Blackburn Rovers,v,Leicester City
02/05/2026,12.30pm,Bristol City,v,Stoke City
02/05/2026,12.30pm,Derby County,v,Sheffield United
02/05/2026,12.30pm,Hull City,v,Norwich City
02/05/2026,12.30pm,Ipswich Town,v,Queens Park Rangers
02/05/2026,12.30pm,Millwall,v,Oxford United
02/05/2026,12.30pm,Portsmouth,v,Birmingham City
02/05/2026,12.30pm,Preston North End,v,Southampton
02/05/2026,12.30pm,Sheffield Wednesday,v,West Bromwich Albion
02/05/2026,12.30pm,Swansea City,v,Charlton Athletic
02/05/2026,12.30pm,Watford,v,Coventry City
02/05/2026,12.30pm,Wrexham,v,Middlesbrough
