Points,Team,Pos,Zone
97,,,Maximum
96,,,
95,,,
94,,,
93,,,Predicted Champions
92,,,
91,,,Guaranteed Champions
90,,,
89,,,
88,,,
87,,,
86,,,Guaranteed Promotion
85,Coventry City (-1),1,
84,,,Predicted Promotion
83,,,
82,,,
81,,,
80,,,
79,,,
78,,,
77,,,Guaranteed Play-Offs
76,,,
75,Ipswich Town (-2),2,
74,,,Predicted Play-Offs
73,Millwall (-1),3,
72,"Southampton (-1), Middlesbrough (-1)","4, 5",
71,,,
70,,,
69,,,
68,Hull City (-1),6,
67,,,
66,,,
65,,,
64,Wrexham (-1),7,
63,Derby County (-1),8,
62,,,
61,,,
60,,,
59,,,
58,"Norwich City (-1), Bristol City (-1), Queens Park Rangers (-1)","9, 10, 11",
57,"Watford (-1), Preston North End (-1), Swansea City (-1)","12, 13, 14",Guaranteed Safety
56,Birmingham City (-1),15,
55,Stoke City (-1),16,
54,Sheffield United (-1),17,
53,,,
52,,,
51,,,
50,,,Predicted Safety
49,Charlton Athletic (-1),18,
48,"Portsmouth (-1), Blackburn Rovers","19, 20",Predicted Relegation
47,,,
46,West Bromwich Albion (-1),21,
45,,,
44,Oxford United (-1),22,
43,,,
42,,,
41,Leicester City (-1),23,
40,,,
39,,,
38,,,
37,,,
36,,,
35,,,
34,,,
33,,,
32,,,
31,,,
30,,,
29,,,
28,,,
27,,,
26,,,
25,,,
24,,,
23,,,
22,,,
21,,,
20,,,
19,,,
18,,,
17,,,
16,,,
15,,,
14,,,
13,,,
12,,,
11,,,
10,,,
9,,,
8,,,
7,,,
6,,,
5,,,
4,,,
3,,,
2,,,
1,,,
0,,,
-1,,,
-2,,,
-3,,,
-4,Sheffield Wednesday (-1),24,
