Home,Away
Peterborough United,Port Vale
AFC Wimbledon,Plymouth Argyle
Barnsley,Bradford City
Bolton Wanderers,Huddersfield Town
Exeter City,Stockport County
Leyton Orient,Rotherham United
Mansfield Town,Luton Town
Northampton Town,Doncaster Rovers
Reading,Cardiff City
Stevenage,Lincoln City
Wycombe Wanderers,Blackpool
Peterborough United,Burton Albion
Port Vale,Wigan Athletic
Bradford City,Plymouth Argyle
Doncaster Rovers,Lincoln City
Rotherham United,Luton Town
Stevenage,Barnsley
Stockport County,Mansfield Town
Cardiff City,Port Vale
Blackpool,Leyton Orient
Bradford City,Bolton Wanderers
Burton Albion,Exeter City
Cardiff City,Northampton Town
Doncaster Rovers,Stevenage
Huddersfield Town,Mansfield Town
Lincoln City,Wycombe Wanderers
Luton Town,Barnsley
Plymouth Argyle,Port Vale
Rotherham United,Reading
Stockport County,Peterborough United
Wigan Athletic,AFC Wimbledon
Northampton Town,Barnsley
Peterborough United,Mansfield Town
Stockport County,Port Vale
AFC Wimbledon,Huddersfield Town
Barnsley,Stockport County
Bolton Wanderers,Luton Town
Exeter City,Bradford City
Leyton Orient,Burton Albion
Mansfield Town,Cardiff City
Northampton Town,Plymouth Argyle
Peterborough United,Doncaster Rovers
Port Vale,Lincoln City
Reading,Blackpool
Stevenage,Wigan Athletic
Wycombe Wanderers,Rotherham United
