Date,Status,Home,Score,,Away,Attd
02/04/2026,FT,Wigan Athletic,0,0,Leyton Orient,"9,239"
03/04/2026,FT,Blackpool,1,0,Exeter City,"10,950"
,,Bloxham (29'),,,,
03/04/2026,FT,Bradford City,1,0,Northampton Town,"19,105"
,,Humphrys (14'),,,,
03/04/2026,FT,Burton Albion,1,1,Barnsley,"4,203"
,,Clive Webster (60'),,,McGoldrick (90'),
03/04/2026,FT,Doncaster Rovers,0,2,Mansfield Town,"10,887"
,,,,,"Oates (50'), Russell (70')",
03/04/2026,FT,Huddersfield Town,1,1,Reading,"17,148"
,,Sorensen (90+6'),,,Wing (44' pen),
03/04/2026,FT,Lincoln City,1,0,AFC Wimbledon,"10,088"
,,One (88'),,,,
03/04/2026,FT,Luton Town,2,1,Peterborough United,"11,429"
,,"Richards (20'), Clark (50')",,,,
03/04/2026,FT,Plymouth Argyle,1,2,Bolton Wanderers,"16,616"
,,Curtis (57'),,,"Kenny (49' pen), Boateng (70' og)",
03/04/2026,FT,Rotherham United,0,0,Stevenage,"7,920"
03/04/2026,FT,Stockport County,3,0,Wycombe Wanderers,"9,476"
,,"Bailey (20'), Olaofe (41'), Sidibeh (82')",,,,
06/04/2026,FT,AFC Wimbledon,0,3,Luton Town,"8,668"
,,,,,"Palmer (12'), Al-Hamadi (59'), Richards (79')",
06/04/2026,FT,Barnsley,0,3,Plymouth Argyle,"10,722"
,,,,,Tolaj (57'),
06/04/2026,FT,Bolton Wanderers,2,2,Stockport County,"23,855"
,,"Kenny (39'), Osborn (79' og)",,,"Sidibeh (45+3'), Edun (51')",
06/04/2026,FT,Exeter City,3,0,Doncaster Rovers,"6,638"
,,"Wareham (42', 84'), Magennis (69')",,,,
06/04/2026,FT,Leyton Orient,1,2,Huddersfield Town,"8,697"
,,Balker (20' og),,,"Radulovic (45+1'), Ledson (90+16')",
06/04/2026,FT,Mansfield Town,0,0,Burton Albion,"8,029"
06/04/2026,FT,Northampton Town,1,3,Wigan Athletic,"6,126"
,,Evans (80'),,,"Wright (15'), Guthrie (45' og), Aimson (88')",
06/04/2026,FT,Peterborough United,1,1,Cardiff City,"9,350"
,,Leonard (49'),,,Robertson (48'),
06/04/2026,FT,Reading,1,2,Lincoln City,"17,144"
,,Wing (90+2'),,,"One (5'), Moylan (90+6')",
06/04/2026,FT,Stevenage,1,0,Blackpool,"4,348"
,,White (66'),,,,
06/04/2026,FT,Wycombe Wanderers,1,2,Bradford City,"6,718"
,,Vidigal (6'),,,"Pointon (52'), Baldwin (69')",
07/04/2026,FT,Port Vale,1,0,Rotherham United,"4,523"
,,Croasdale (6'),,,,
11/04/2026,FT,Blackpool,3,1,Peterborough United,"9,555"
,,"Taylor (3', 82'), Bloxham (49')",,,Khela (24'),
11/04/2026,FT,Bradford City,0,1,Stevenage,"19,367"
,,,,,Kemp (61'),
11/04/2026,FT,Burton Albion,1,0,AFC Wimbledon,"3,654"
,,Lofthouse (55'),,,,
11/04/2026,FT,Cardiff City,2,0,Bolton Wanderers,"21,640"
,,"Kellyman (50'), Willock (52')",,,,
11/04/2026,FT,Doncaster Rovers,1,0,Reading,"8,904"
,,Bailey (58'),,,,
11/04/2026,FT,Huddersfield Town,3,3,Wycombe Wanderers,"16,477"
,,"Ledson (48'), Harness (75', 90+6')",,,"Lowe (35', 90+11'), Taylor (90')",
11/04/2026,FT,Lincoln City,2,1,Leyton Orient,"9,919"
,,"Moylan (19'), Forrester (45+5' og)",,,Ballard (71'),
11/04/2026,FT,Plymouth Argyle,2,2,Exeter City,"17,016"
,,"Tolaj (79'), Boateng (90')",,,"Cole (47'), Wareham (87')",
11/04/2026,FT,Rotherham United,1,3,Barnsley,"9,575"
,,Nombe (90+5' pen),,,"Phillips (37'), Bradshaw (64', 74')",
11/04/2026,FT,Wigan Athletic,2,1,Mansfield Town,"10,196"
,,"Wright (25'), Taylor (71' pen)",,,Akins (28'),
14/04/2026,FT,Bolton Wanderers,5,1,Stevenage,"19,177"
,,"Cozier-Duberry (13', 49'), Kenny (30'), Rodrigues (67'), Burstow (81')",,,Kemp (64'),
14/04/2026,FT,Huddersfield Town,1,1,Cardiff City,
,,Ledson (27'),,,Salech (90+5'),
14/04/2026,FT,Leyton Orient,0,0,Mansfield Town,"7,941"
14/04/2026,FT,Port Vale,0,0,Barnsley,"4,863"
14/04/2026,FT,Wigan Athletic,3,0,Rotherham United,"7,989"
,,"Kerr (15'), Taylor (52'), Wright (63')",,,,
15/04/2026,FT,AFC Wimbledon,0,2,Stockport County,"8,040"
,,,,,"Stokes (59'), Edun (72')",
15/04/2026,FT,Luton Town,2,1,Northampton Town,"9,638"
,,"Walsh (43'), Naismith (85')",,,Hoskins (31'),
16/04/2026,7.45pm,Peterborough United,v,,Port Vale,
18/04/2026,3pm,AFC Wimbledon,v,,Plymouth Argyle,
18/04/2026,12.30pm,Barnsley,v,,Bradford City,
18/04/2026,12.30pm,Bolton Wanderers,v,,Huddersfield Town,
18/04/2026,3pm,Exeter City,v,,Stockport County,
18/04/2026,3pm,Leyton Orient,v,,Rotherham United,
18/04/2026,3pm,Mansfield Town,v,,Luton Town,
18/04/2026,3pm,Northampton Town,v,,Doncaster Rovers,
18/04/2026,3pm,Reading,v,,Cardiff City,
18/04/2026,3pm,Stevenage,v,,Lincoln City,
18/04/2026,3pm,Wycombe Wanderers,v,,Blackpool,
19/04/2026,1pm,Peterborough United,v,,Burton Albion,
19/04/2026,3pm,Port Vale,v,,Wigan Athletic,
21/04/2026,7.45pm,Bradford City,v,,Plymouth Argyle,
21/04/2026,7.45pm,Doncaster Rovers,v,,Lincoln City,
21/04/2026,7.45pm,Rotherham United,v,,Luton Town,
21/04/2026,7.45pm,Stevenage,v,,Barnsley,
21/04/2026,7.45pm,Stockport County,v,,Mansfield Town,
22/04/2026,7.45pm,Cardiff City,v,,Port Vale,
25/04/2026,3pm,Blackpool,v,,Leyton Orient,
25/04/2026,3pm,Bradford City,v,,Bolton Wanderers,
25/04/2026,3pm,Burton Albion,v,,Exeter City,
25/04/2026,3pm,Cardiff City,v,,Northampton Town,
25/04/2026,12.30pm,Doncaster Rovers,v,,Stevenage,
25/04/2026,3pm,Huddersfield Town,v,,Mansfield Town,
25/04/2026,3pm,Lincoln City,v,,Wycombe Wanderers,
25/04/2026,3pm,Luton Town,v,,Barnsley,
25/04/2026,3pm,Plymouth Argyle,v,,Port Vale,
25/04/2026,3pm,Rotherham United,v,,Reading,
25/04/2026,12.30pm,Stockport County,v,,Peterborough United,
25/04/2026,3pm,Wigan Athletic,v,,AFC Wimbledon,
28/04/2026,7.45pm,Northampton Town,v,,Barnsley,
28/04/2026,7.45pm,Peterborough United,v,,Mansfield Town,
28/04/2026,7.45pm,Stockport County,v,,Port Vale,
