Date,Status,Home,,Away
02/05/2026,3pm,AFC Wimbledon,v,Huddersfield Town
02/05/2026,3pm,Barnsley,v,Stockport County
02/05/2026,3pm,Bolton Wanderers,v,Luton Town
02/05/2026,3pm,Exeter City,v,Bradford City
02/05/2026,3pm,Leyton Orient,v,Burton Albion
02/05/2026,3pm,Mansfield Town,v,Cardiff City
02/05/2026,3pm,Northampton Town,v,Plymouth Argyle
02/05/2026,3pm,Peterborough United,v,Doncaster Rovers
02/05/2026,3pm,Port Vale,v,Lincoln City
02/05/2026,3pm,Reading,v,Blackpool
02/05/2026,3pm,Stevenage,v,Wigan Athletic
02/05/2026,3pm,Wycombe Wanderers,v,Rotherham United
