Points,Team,Pos,Zone
105,,,Maximum
104,,,
103,,,
102,,,Predicted Champions
101,,,
100,,,
99,,,
98,,,
97,,,
96,,,
95,,,Guaranteed Champions
94,,,
93,Lincoln City (-1),1,
92,,,
91,,,
90,,,Predicted Promotion
89,,,
88,,,
87,,,
86,,,Guaranteed Promotion
85,,,
84,,,
83,,,
82,Cardiff City (-1),2,
81,,,
80,,,
79,,,
78,,,
77,,,Guaranteed Play-Offs
76,,,
75,,,
74,,,
73,Bolton Wanderers,3,Predicted Play-Offs
72,,,
71,Bradford City (-1),4,
70,Stockport County (-2),5,
69,,,
68,,,
67,Stevenage (-1),6,
66,,,
65,,,
64,Luton Town (-1),7,
63,"Huddersfield Town, Plymouth Argyle (-1)","8, 9",
62,Reading,10,
61,,,
60,Wycombe Wanderers,11,
59,,,
58,,,
57,,,Guaranteed Safety
56,,,
55,"Barnsley (-2), Wigan Athletic","12, 13",
54,Mansfield Town (-2),14,
53,Doncaster Rovers (-1),15,Predicted Safety
52,,,
51,"Peterborough United (-2), Leyton Orient, Burton Albion, Blackpool","16, 17, 18, 19",
50,AFC Wimbledon,20,Predicted Relegation
49,,,
48,,,
47,Exeter City,21,
46,,,
45,,,
44,,,
43,,,
42,,,
41,,,
40,,,
39,,,
38,,,
37,Rotherham United (-1),22,
36,,,
35,"Port Vale (-3), Northampton Town (-1)","23, 24",
