Home,Away
Bromley,Cambridge United
Barrow,Walsall
Cheltenham Town,Newport County AFC
Crawley Town,Shrewsbury Town
Crewe Alexandra,Milton Keynes Dons
Fleetwood Town,Chesterfield
Gillingham,Grimsby Town
Harrogate Town,Colchester United
Notts County,Barnet
Oldham Athletic,Salford City
Swindon Town,Accrington Stanley
Tranmere Rovers,Bristol Rovers
Cambridge United,Grimsby Town
Cheltenham Town,Tranmere Rovers
Salford City,Bromley
Accrington Stanley,Crawley Town
Barnet,Gillingham
Bristol Rovers,Cheltenham Town
Cambridge United,Barrow
Chesterfield,Crewe Alexandra
Colchester United,Notts County
Grimsby Town,Swindon Town
Milton Keynes Dons,Tranmere Rovers
Newport County AFC,Oldham Athletic
Shrewsbury Town,Fleetwood Town
Walsall,Harrogate Town
Barrow,Newport County AFC
Bromley,Walsall
Cheltenham Town,Colchester United
Crawley Town,Salford City
Crewe Alexandra,Cambridge United
Fleetwood Town,Milton Keynes Dons
Gillingham,Shrewsbury Town
Harrogate Town,Barnet
Notts County,Bristol Rovers
Oldham Athletic,Accrington Stanley
Swindon Town,Chesterfield
Tranmere Rovers,Grimsby Town
