Date,Status,Home,Score,,Away,Attd
02/04/2026,FT,Cambridge United,1,1,Swindon Town,"7,366"
,,Knight (21'),,,Gibbons (90' og),
03/04/2026,FT,Accrington Stanley,2,0,Crewe Alexandra,"2,790"
,,Conneely (56'),,,,
03/04/2026,FT,Barnet,2,2,Bromley,"3,903"
,,"Chinedu (18'), Tshimanga (76' pen)",,,Kabamba (12'),
03/04/2026,FT,Bristol Rovers,1,0,Fleetwood Town,"10,160"
,,Quigley (66'),,,,
03/04/2026,FT,Chesterfield,1,0,Cheltenham Town,"8,072"
,,Dickson (25'),,,,
03/04/2026,FT,Colchester United,1,3,Oldham Athletic,"5,621"
,,,,,"Daniels (8'), Taylor (86'), Drummond (90+4')",
03/04/2026,FT,Grimsby Town,1,3,Harrogate Town,"7,911"
,,Green (39'),,,"Evans (27'), Morris (80')",
03/04/2026,FT,Milton Keynes Dons,0,0,Barrow,"7,503"
03/04/2026,FT,Newport County AFC,0,2,Crawley Town,"6,146"
,,,,,"McKirdy (57', 59')",
03/04/2026,FT,Salford City,2,1,Notts County,"4,011"
,,"Graydon (90+2'), Butcher (90+6')",,,Browne (90+5'),
03/04/2026,FT,Shrewsbury Town,1,0,Tranmere Rovers,"7,012"
,,Stubbs (55'),,,,
03/04/2026,FT,Walsall,2,2,Gillingham,"5,994"
,,"Loupalo-Bi (21'), Kanu (66')",,,"Hale (50'), Palmer-Houlden (63')",
06/04/2026,FT,Barrow,0,1,Chesterfield,"2,956"
,,,,,Berry (62'),
06/04/2026,FT,Cheltenham Town,1,1,Cambridge United,"4,149"
,,Eastwood (90+1' og),,,Kaikai (34'),
06/04/2026,FT,Crawley Town,0,2,Grimsby Town,"4,273"
,,,,,Rodgers (36'),
06/04/2026,FT,Crewe Alexandra,1,0,Salford City,"5,703"
,,Tezgel (14'),,,,
06/04/2026,FT,Fleetwood Town,2,5,Barnet,"2,605"
,,"Neal (51'), Helm (69' pen)",,,"Stead (45+3'), Hartigan (47'), Tshimanga (77' pen, 80'), Jaiyesimi (90+4')",
06/04/2026,FT,Gillingham,2,0,Accrington Stanley,"5,383"
,,"Smith (36'), McCleary (56')",,,,
06/04/2026,FT,Harrogate Town,2,3,Bristol Rovers,"3,610"
,,"Taylor (27', 55')",,,"Forde (50'), Harrison (61', 79' pen)",
06/04/2026,FT,Notts County,3,1,Newport County AFC,"11,431"
,,Luker (86'),,,Lloyd (65'),
06/04/2026,FT,Oldham Athletic,1,1,Milton Keynes Dons,"8,920"
,,Fondop-Talom (84'),,,Ekpiteta (30'),
06/04/2026,FT,Swindon Town,2,1,Walsall,"8,981"
,,"Holman (81'), Drinan (90+2')",,,Jellis (66'),
06/04/2026,FT,Tranmere Rovers,0,1,Colchester United,"6,211"
,,,,,Payne (75'),
07/04/2026,FT,Bromley,2,1,Shrewsbury Town,"4,780"
,,"Ifill (38'), Cameron (49')",,,Ihionvien (6'),
10/04/2026,FT,Colchester United,3,0,Swindon Town,"4,880"
,,"Read (48'), Goodwin (54'), Anderson (69')",,,,
11/04/2026,FT,Accrington Stanley,1,2,Fleetwood Town,"1,993"
,,Woods (51'),,,"Helm (12'), Esapa Osong (90+1')",
11/04/2026,FT,Barnet,3,2,Barrow,"2,075"
,,"Tshimanga (45+2'), Shelton (53'), Stead (85')",,,"Gordon (3'), Harper (73')",
11/04/2026,FT,Bristol Rovers,3,1,Crawley Town,"7,453"
,,"Harrison (26'), Rijks (30'), Akhamrich (90+6')",,,Watson (80'),
11/04/2026,FT,Cambridge United,4,0,Notts County,"7,983"
,,"Ball (2'), Lavery (28'), Gibbons (33', 55')",,,,
11/04/2026,FT,Chesterfield,1,1,Tranmere Rovers,"7,953"
,,Naylor (44'),,,Finley (53'),
11/04/2026,FT,Grimsby Town,3,2,Crewe Alexandra,"6,931"
,,"Cook (10', 58'), Green (49')",,,"O'Reilly (88' pen), Demetriou (90+7')",
11/04/2026,FT,Milton Keynes Dons,2,1,Bromley,"9,824"
,,"Mendez-Laing (1'), Wiles (17')",,,Ifill (74'),
11/04/2026,FT,Newport County AFC,2,1,Harrogate Town,"4,337"
,,"Opoku (8'), Thomas (57')",,,Evans (39'),
11/04/2026,FT,Salford City,0,0,Gillingham,"4,303"
11/04/2026,FT,Shrewsbury Town,1,0,Oldham Athletic,"6,609"
,,Boyle (30'),,,,
11/04/2026,FT,Walsall,0,4,Cheltenham Town,"6,103"
,,,,,"Ashfield (56'), Hutchinson (63'), Miller (69'), Martin (90+3')",
14/04/2026,7.45pm,Barrow,3,2,Oldham Athletic,
14/04/2026,7.45pm,Cheltenham Town,2,1,Gillingham,
14/04/2026,7.45pm,Chesterfield,2,1,Grimsby Town,
14/04/2026,7.45pm,Colchester United,2,1,Accrington Stanley,
16/04/2026,8pm,Bromley,v,,Cambridge United,
18/04/2026,12.30pm,Barrow,v,,Walsall,
18/04/2026,3pm,Cheltenham Town,v,,Newport County AFC,
18/04/2026,3pm,Crawley Town,v,,Shrewsbury Town,
18/04/2026,3pm,Crewe Alexandra,v,,Milton Keynes Dons,
18/04/2026,3pm,Fleetwood Town,v,,Chesterfield,
18/04/2026,3pm,Gillingham,v,,Grimsby Town,
18/04/2026,3pm,Harrogate Town,v,,Colchester United,
18/04/2026,3pm,Notts County,v,,Barnet,
18/04/2026,3pm,Oldham Athletic,v,,Salford City,
18/04/2026,12.30pm,Swindon Town,v,,Accrington Stanley,
18/04/2026,3pm,Tranmere Rovers,v,,Bristol Rovers,
21/04/2026,7.45pm,Cambridge United,v,,Grimsby Town,
21/04/2026,7.45pm,Cheltenham Town,v,,Tranmere Rovers,
23/04/2026,8pm,Salford City,v,,Bromley,
25/04/2026,3pm,Accrington Stanley,v,,Crawley Town,
25/04/2026,3pm,Barnet,v,,Gillingham,
25/04/2026,3pm,Bristol Rovers,v,,Cheltenham Town,
25/04/2026,3pm,Cambridge United,v,,Barrow,
25/04/2026,3pm,Chesterfield,v,,Crewe Alexandra,
25/04/2026,3pm,Colchester United,v,,Notts County,
25/04/2026,12.30pm,Grimsby Town,v,,Swindon Town,
25/04/2026,12.30pm,Milton Keynes Dons,v,,Tranmere Rovers,
25/04/2026,3pm,Newport County AFC,v,,Oldham Athletic,
25/04/2026,3pm,Shrewsbury Town,v,,Fleetwood Town,
25/04/2026,3pm,Walsall,v,,Harrogate Town,
