Date,Status,Home,,Away
02/05/2026,3pm,Barrow,v,Newport County AFC
02/05/2026,3pm,Bromley,v,Walsall
02/05/2026,3pm,Cheltenham Town,v,Colchester United
02/05/2026,3pm,Crawley Town,v,Salford City
02/05/2026,3pm,Crewe Alexandra,v,Cambridge United
02/05/2026,3pm,Fleetwood Town,v,Milton Keynes Dons
02/05/2026,3pm,Gillingham,v,Shrewsbury Town
02/05/2026,3pm,Harrogate Town,v,Barnet
02/05/2026,3pm,Notts County,v,Bristol Rovers
02/05/2026,3pm,Oldham Athletic,v,Accrington Stanley
02/05/2026,3pm,Swindon Town,v,Chesterfield
02/05/2026,3pm,Tranmere Rovers,v,Grimsby Town
