Pos,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,Bromley,43,23,14,6,68,43,25,83
2,Milton Keynes Dons,43,22,13,8,79,43,36,79
3,Cambridge United,42,21,14,7,62,31,31,77
4,Notts County,43,23,7,13,71,49,22,76
5,Swindon Town,43,22,8,13,67,51,16,74
6,Salford City,43,23,5,15,57,50,7,74
7,Chesterfield,43,19,15,9,66,54,12,72
8,Grimsby Town,42,19,11,12,63,47,16,68
9,Barnet,43,18,13,12,60,49,11,67
10,Crewe Alexandra,43,19,9,15,63,53,10,66
11,Oldham Athletic,43,17,14,12,54,39,15,65
12,Colchester United,43,17,12,14,58,46,12,63
13,Walsall,43,17,11,15,52,50,2,62
14,Fleetwood Town,43,15,13,15,53,54,-1,58
15,Bristol Rovers,43,17,4,22,49,63,-14,55
16,Accrington Stanley,43,14,9,20,42,50,-8,51
17,Gillingham,43,12,14,17,49,62,-13,50
18,Cheltenham Town,42,13,10,19,50,68,-18,49
19,Shrewsbury Town,43,13,8,22,40,66,-26,47
20,Tranmere Rovers,42,9,10,23,49,72,-23,37
21,Crawley Town,43,8,13,22,41,65,-24,37
22,Newport County AFC,43,10,7,26,43,73,-30,37
23,Barrow,43,9,9,25,43,70,-27,36
24,Harrogate Town,43,8,9,26,35,66,-31,33
