Points,Team,Pos,Zone
92,,,Maximum
91,,,
90,,,Guaranteed Champions
89,,,Predicted Champions
88,,,
87,,,
86,,,Guaranteed Promotion
85,,,Predicted Runners-Up
84,,,Predicted Promotion
83,Bromley,1,
82,,,
81,,,Guaranteed Play-Offs
80,,,
79,Milton Keynes Dons,2,
78,,,
77,Cambridge United (-1),3,Predicted Play-Offs
76,Notts County,4,
75,,,
74,"Swindon Town, Salford City","5, 6",
73,,,
72,Chesterfield,7,
71,,,
70,,,
69,,,
68,Grimsby Town (-1),8,
67,Barnet,9,
66,Crewe Alexandra,10,
65,Oldham Athletic,11,
64,,,
63,Colchester United,12,
62,Walsall,13,
61,,,
60,,,
59,,,
58,Fleetwood Town,14,
57,,,
56,,,
55,Bristol Rovers,15,
54,,,
53,,,
52,,,
51,Accrington Stanley,16,
50,Gillingham,17,
49,Cheltenham Town (-1),18,
48,,,
47,Shrewsbury Town,19,
46,,,Guaranteed Safety
45,,,
44,,,
43,,,
42,,,
41,,,
40,,,Predicted Safety
39,,,Predicted Relegation
38,,,
37,"Tranmere Rovers (-1), Crawley Town, Newport County AFC","20, 21, 22",
36,Barrow,23,
35,,,
34,,,
33,Harrogate Town,24,
