Home,Away
Brackley Town,Aldershot Town
Braintree Town,Rochdale
Eastleigh,Tamworth
FC Halifax Town,Southend United
Gateshead,Woking
Hartlepool United,Forest Green Rovers
Morecambe,Boreham Wood
Solihull Moors,Boston United
Sutton United,Altrincham
Truro City,Carlisle United
Wealdstone,Scunthorpe United
York City,Yeovil Town
Hartlepool United,Southend United
Aldershot Town,Truro City
Altrincham,Gateshead
Boreham Wood,Sutton United
Boston United,Hartlepool United
Carlisle United,Brackley Town
Forest Green Rovers,Morecambe
Rochdale,York City
Scunthorpe United,Eastleigh
Southend United,Wealdstone
Tamworth,Braintree Town
Woking,FC Halifax Town
Yeovil Town,Solihull Moors
Fifth-placed team,Sixth-placed team
Fourth-placed team,Seventh-placed team
