"Date","Status","Home","Score","","Away","Attd"
"3/4/2026","FT","Aldershot Town","2","2","Sutton United","3,034"
"","","Hill (16' pen)","","","Simper (21', 73' pen)",""
"3/4/2026","FT","Altrincham","0","1","FC Halifax Town","2,572"
"","","","","","Turner-Cooke (90+4')",""
"3/4/2026","FT","Boreham Wood","5","1","Wealdstone","1,611"
"","","Clarke (33', 42', 74' pen), Brunt (53'), Abdulmalik (79')","","","",""
"3/4/2026","FT","Boston United","0","1","York City","3,198"
"3/4/2026","FT","Carlisle United","0","0","Gateshead","8,558"
"3/4/2026","FT","Forest Green Rovers","4","0","Brackley Town","2,095"
"","","Bughail-Mellor (45+5'), McAllister (74'), Mendy (88')","","","",""
"3/4/2026","FT","Rochdale","2","4","Morecambe","4,183"
"","","Barlow (19'), Henderson (78')","","","Payne (32', 66'), Nolan (72'), Tollitt (90+8')",""
"3/4/2026","FT","Scunthorpe United","0","0","Hartlepool United","5,503"
"3/4/2026","FT","Southend United","3","2","Braintree Town","9,716"
"","","Dallas (6', 33'), Coker (54')","","","Kamara (83')",""
"3/4/2026","FT","Tamworth","1","0","Solihull Moors","1,658"
"","","Creaney (56')","","","",""
"3/4/2026","FT","Woking","3","3","Eastleigh","3,517"
"","","Beautyman (16'), Sanderson (77')","","","Akinola (45' og), Vokins (54')",""
"3/4/2026","FT","Yeovil Town","1","0","Truro City","4,020"
"6/4/2026","FT","Brackley Town","1","1","Boston United","1,022"
"","","Elliott-Wheeler (71')","","","John-Lewis (78' pen)",""
"6/4/2026","FT","Braintree Town","0","0","Woking","1,161"
"6/4/2026","FT","Eastleigh","2","1","Yeovil Town","2,682"
"","","Blair (32', 57')","","","Ellison (90+2')",""
"6/4/2026","FT","FC Halifax Town","2","2","Tamworth","1,304"
"","","Turner-Cooke (56'), Smith (58')","","","Mols (1')",""
"6/4/2026","FT","Gateshead","2","0","Scunthorpe United","2,126"
"","","Ward (22', 51' pen)","","","",""
"6/4/2026","FT","Hartlepool United","0","0","Rochdale","4,203"
"6/4/2026","FT","Morecambe","2","2","Carlisle United","4,566"
"","","Edwards (32'), Hogan (82')","","","Linney (48'), Ajiboye (68')",""
"6/4/2026","FT","Solihull Moors","4","1","Boreham Wood","943"
"","","Lipsiuc (37', 48'), Sbarra (54')","","","Landers (81')",""
"6/4/2026","FT","Sutton United","0","3","Southend United","3,711"
"","","","","","Spasov (53'), Scott-Morriss (60', 63')",""
"6/4/2026","FT","Truro City","1","1","Forest Green Rovers","2,428"
"","","Jephcott (84')","","","Knowles (75')",""
"6/4/2026","FT","Wealdstone","3","0","Aldershot Town","1,812"
"","","Nathaniel-George (87'), Olomola (90+4')","","","",""
"6/4/2026","FT","York City","2","1","Altrincham","8,162"
"","","Banks (38'), Walcott (90+6')","","","Knowles (36')",""
"11/4/2026","FT","Aldershot Town","0","1","Gateshead","2,022"
"","","","","","Chapman (11')",""
"11/4/2026","FT","Altrincham","1","0","Eastleigh","1,621"
"","","Crawford (18')","","","",""
"11/4/2026","FT","Boreham Wood","3","0","Hartlepool United","1,209"
"11/4/2026","FT","Boston United","1","0","Truro City","1,671"
"11/4/2026","FT","Carlisle United","3","0","Sutton United","6,296"
"","","Macadam (10', 23'), Galvin (41')","","","",""
