Home,Away
AFC Fylde,Southport
AFC Telford United,Darlington
Curzon Ashton,Buxton
Hereford FC,Radcliffe
King's Lynn Town,Chorley
Leamington,Kidderminster Harriers
Macclesfield FC,Spennymoor Town
Marine,Alfreton Town
Oxford City,Chester FC
Scarborough Athletic,Merthyr Town
South Shields,Bedford Town
Worksop Town,Peterborough Sports
Hereford FC,Marine
Macclesfield FC,Southport
Alfreton Town,Curzon Ashton
Bedford Town,Scarborough Athletic
Buxton,Leamington
Chester FC,King's Lynn Town
Chorley,Worksop Town
Darlington,Oxford City
Hereford FC,Peterborough Sports
Kidderminster Harriers,South Shields
Merthyr Town,AFC Fylde
Radcliffe,Macclesfield FC
Southport,AFC Telford United
Spennymoor Town,Marine
Fifth-placed team,Sixth-placed team
Fourth-placed team,Seventh-placed team
