Date,Status,Home,Score,,Away,Attd
03/04/2026,FT,Alfreton Town,1,1,Worksop Town,734
,,Freeman (66'),,,Martin (41'),
03/04/2026,FT,Bedford Town,3,1,Leamington,"1,148"
,,"Castiglione (9'), Moncur (54'), Brearey (68' og)",,,Brogan (6'),
03/04/2026,FT,Buxton,2,4,Macclesfield FC,"2,710"
,,Ward (56'),,,Osborne (69'),
03/04/2026,FT,Chester FC FC,2,1,AFC Telford United,"2,935"
,,Mottley Henry (66'),,,Weeks (69' og),
03/04/2026,FT,Chorley,2,0,AFC Fylde,"2,022"
,,"Bird (25'), Ellis (64')",,,,
03/04/2026,FT,Darlington,1,2,Scarborough Athletic,"2,400"
,,Weledji (77' og),,,"Bennett (75'), Wells (90+4')",
03/04/2026,FT,Kidderminster Harriers,2,1,Hereford FC,"4,213"
,,"Reynolds (22'), Davis (90+4')",,,,
03/04/2026,FT,Merthyr Town,1,1,Oxford City,"1,398"
,,Cox (6'),,,Bearne (48'),
03/04/2026,FT,Peterborough Sports,2,2,King's Lynn Town,616
,,Oakley (51'),,,"Williams (50'), Forbes (90+3')",
03/04/2026,FT,Radcliffe,3,3,Curzon Ashton,"1,189"
,,Maynard (69'),,,Curley (90+4'),
03/04/2026,FT,Southport,2,1,Marine,"3,176"
,,,,,Jolley (77'),
03/04/2026,FT,Spennymoor Town,1,1,South Shields,"2,133"
,,Mckeown (72'),,,Blackett (44'),
06/04/2026,FT,AFC Fylde,4,3,Radcliffe,"1,296"
,,"Whelan (36'), Mitchell (75')",,,Maynard (53'),
06/04/2026,FT,AFC Telford United,1,2,Kidderminster Harriers,"2,336"
,,Walker (10'),,,Cooper (20'),
06/04/2026,FT,Curzon Ashton,1,3,Southport,514
,,,,,"Keane (55'), Gnahoua (85')",
06/04/2026,FT,Hereford FC,3,0,Merthyr Town,"3,673"
06/04/2026,FT,King's Lynn Town,0,1,Bedford Town,"1,277"
,,,,,Moncur (87' pen),
06/04/2026,FT,Leamington,1,2,Alfreton Town,502
,,,,,Youmbi (59'),
06/04/2026,FT,Macclesfield FC,0,2,Chester FC,"4,474"
,,,,,"Mottley Henry (26'), Bainbridge (82')",
06/04/2026,FT,Marine,2,1,Chorley,"1,293"
,,Jolley (31'),,,,
06/04/2026,FT,Oxford City,2,0,Peterborough Sports,731
