Pos,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,South Shields,44,28,10,6,98,41,57,94
2,AFC Fylde,44,30,4,10,104,49,55,94
3,Kidderminster Harriers,44,23,12,9,70,49,21,81
4,Macclesfield FC,43,23,7,13,79,64,15,76
5,Merthyr Town,44,22,4,18,92,80,12,70
6,Scarborough Athletic,44,18,15,11,58,50,8,69
7,Chester FC,44,19,12,13,64,63,1,69
8,Darlington,44,20,8,16,76,64,12,68
9,Buxton,44,20,7,17,75,60,15,67
10,AFC Telford United,44,17,13,14,84,62,22,64
11,Spennymoor Town,44,18,10,16,59,68,-9,64
12,Marine,43,18,7,18,58,66,-8,61
13,Southport,43,15,12,16,61,65,-4,57
14,Radcliffe,44,17,6,21,74,80,-6,57
15,Worksop,44,15,9,20,57,72,-15,54
16,Chorley,44,14,11,19,63,63,0,53
17,Oxford City,44,14,11,19,58,64,-6,53
18,Bedford Town,44,13,12,19,64,75,-11,51
19,Curzon Ashton,44,13,12,19,64,81,-17,51
20,Kings Lynn Town,44,12,14,18,55,63,-8,50
21,Alfreton Town,44,11,13,20,43,77,-34,46
22,Hereford FC,43,12,9,22,57,75,-18,45
23,Peterborough Sports,44,10,8,26,49,86,-37,38
24,Leamington,44,7,8,29,38,83,-45,29
