Points,Team,Pos,Zone
100,,,Maximum
99,,,
98,,,"Predicted Champions, Predicted Runners-Up"
97,,,
96,,,
95,,,
94,"South Shields, AFC Fylde","1, 2",
93,,,
92,,,
91,,,
90,,,
89,,,
88,,,
87,,,
86,,,Guaranteed Play-Off Semi-Finals
85,,,Predicted Play-Off Semi-Finals
84,,,
83,,,
82,,,
81,Kidderminster Harriers,3,
80,,,
79,,,
78,,,
77,,,
76,Macclesfield FC (-1),4,
75,,,Guaranteed Play-Offs
74,,,
73,,,
72,,,Predicted Play-Offs
71,,,
70,Merthyr Town,5,
69,"Scarborough Athletic, Chester FC","6, 7",
68,Darlington,8,
67,Buxton,9,
66,,,
65,,,
64,"AFC Telford United, Spennymoor Town","10, 11",
63,,,
62,,,
61,Marine (-1),12,
60,,,
59,,,
58,,,
57,"Southport (-1), Radcliffe","13, 14",
56,,,
55,,,Guaranteed Safety
54,Worksop,15,
53,"Chorley, Oxford City","16, 17",
52,,,Predicted Safety
51,"Bedford Town, Curzon Ashton","18, 19",
50,Kings Lynn Town,20,
49,,,
48,,,Predicted Relegation
47,,,
46,Alfreton Town,21,
45,Hereford FC (-1),22,
44,,,
43,,,
42,,,
41,,,
40,,,
39,,,
38,Peterborough Sports,23,
37,,,
36,,,
35,,,
34,,,
33,,,
32,,,
31,,,
30,,,
29,Leamington,24,
