Home,Away
Chesham United,Chelmsford City
Chippenham Town,Hornchurch
Dagenham & Redbridge,Weston-s-Mare
Dorking Wanderers,Bath City
Eastbourne Borough,AFC Totton
Ebbsfleet United,Hampton & Richmond Borough
Enfield Town,Slough Town
Farnborough,Tonbridge Angels
Maidenhead United,Dover Athletic
Maidstone Utd,Worthing
Salisbury FC,Horsham
Torquay United,Hemel Hempstead Town
AFC Totton,Farnborough
Bath City,Maidstone Utd
Chelmsford City,Eastbourne Borough
Dover Athletic,Chesham United
Hampton & Richmond Borough,Enfield Town
Hemel Hempstead Town,Salisbury FC
Hornchurch,Maidenhead United
Horsham,Chippenham Town
Slough Town,Dagenham & Redbridge
Tonbridge Angels,Torquay United
Weston-s-Mare,Dorking Wanderers
Worthing,Ebbsfleet United
Fifth-placed team,Sixth-placed team
Fourth-placed team,Seventh-placed team
