Date,Status,Home,Score,,Away,Attd
03/04/2026,FT,AFC Totton,2,1,Salisbury FC,"1,833"
,,Ward (75'),,,,
03/04/2026,FT,Bath City,1,0,Chippenham Town,"2,040"
03/04/2026,FT,Chelmsford City,3,0,Enfield Town,"2,220"
,,"Taylor (38'), Papadopoulos (90+8')",,,,
03/04/2026,FT,Dover Athletic,0,2,Maidstone Utd,"2,134"
,,,,,Tanga (90+6'),
03/04/2026,FT,Hampton & Richmond Borough,3,1,Farnborough,"1,230"
,,"Nkrumah (12', 67'), Frimpong (16')",,,Bingham (70'),
03/04/2026,FT,Hemel Hempstead Town,0,3,Chesham United,"1,514"
,,,,,Yearn (53'),
03/04/2026,FT,Hornchurch,3,0,Dagenham & Redbridge,"3,004"
,,"Rees (39'), Phillips (45+1'), Alexander (74')",,,,
03/04/2026,FT,Horsham,3,0,Dorking Wanderers,"2,812"
,,Bates (90+6'),,,,
03/04/2026,FT,Slough Town,2,2,Maidenhead United,"1,934"
,,"Dyce (73'), Oshilaja (98')",,,"Umerah (4'), Grant (53')",
03/04/2026,FT,Tonbridge Angels,1,2,Ebbsfleet United,"1,597"
,,Leahy (87'),,,"Chapman (5'), Appiah (14')",
03/04/2026,FT,Weston-s-Mare,0,3,Torquay United,"2,662"
,,,,,"Worthington (15'), Dennis (84', 86')",
03/04/2026,FT,Worthing,2,1,Eastbourne Borough,"3,034"
,,"Coleman De Graft (80'), Cook (90+5')",,,May (14'),
06/04/2026,FT,Chesham United,4,1,Slough Town,"1,158"
,,"Lafleur (9'), Bennetts (47'), Weiss (49', 53')",,,Clarke (78'),
06/04/2026,FT,Chippenham Town,2,0,AFC Totton,622
,,Hallett (57' og),,,,
06/04/2026,FT,Dagenham & Redbridge,3,3,Chelmsford City,"2,058"
,,"Harrack (57'), Oteh (86' pen)",,,"Taylor (5'), Barbrook (88'), Murphy (90+7')",
06/04/2026,FT,Dorking Wanderers,1,2,Worthing,"3,426"
,,Carter (55'),,,"Coleman De Graft (60'), Moulton (85')",
06/04/2026,FT,Eastbourne Borough,1,1,Tonbridge Angels,"1,029"
,,Castro (59'),,,Korboa (8'),
06/04/2026,FT,Ebbsfleet United,4,0,Dover Athletic,"1,642"
,,"Nelson (15'), Chapman (52'), Seaman (70'), Appiah (78')",,,,
06/04/2026,FT,Enfield Town,0,0,Hemel Hempstead Town,856
06/04/2026,FT,Farnborough,2,0,Horsham,"1,348"
,,"Bloomfield (60', 72')",,,,
06/04/2026,FT,Maidenhead United,2,1,Hampton & Richmond Borough,"1,345"
,,"Umerah (26' pen, 59')",,,Gardner (12'),
06/04/2026,FT,Maidstone Utd,5,4,Hornchurch,"2,341"
,,"Gilbert (6'), Court (10'), Kargbo (12'), Foran (32'), Corne (59')",,,"Rees (25', 42'), Balanta (30', 45+2')",
06/04/2026,FT,Salisbury FC,1,2,Weston-s-Mare,"1,135"
06/04/2026,FT,Torquay United,4,1,Bath City,"4,430"
,,"Evans (11'), Morgan (34', 48', 59')",,,Alves (19'),
11/04/2026,FT,AFC Totton,2,1,Dorking Wanderers,"1,855"
,,"Grant (57'), Ward (66')",,,Sidwell (59'),
11/04/2026,FT,Bath City,4,2,Chesham United,972
,,Wilson (1'),,,Yearn (31'),
11/04/2026,FT,Chelmsford City,1,1,Maidenhead United,"2,075"
,,Barham (76'),,,Umerah (89'),
11/04/2026,FT,Dover Athletic,1,3,Farnborough,752
,,Beadle (5'),,,"Robinson (44'), Bingham (45+1'), Bloomfield (82' pen)",
11/04/2026,FT,Hampton & Richmond Borough,1,1,Chippenham Town,933
,,Lacey (71'),,,Parsons (11'),
11/04/2026,FT,Hemel Hempstead Town,3,1,Eastbourne Borough,714
,,,,,Castro (55'),
11/04/2026,FT,Hornchurch,1,0,Ebbsfleet United,"1,220"
,,Balanta (90'),,,,
11/04/2026,FT,Horsham,0,0,Maidstone Utd,"1,642"
11/04/2026,FT,Slough Town,1,5,Torquay United,"1,292"
,,,,,"Moore (16', 21'), Grant (90+2')",
11/04/2026,FT,Tonbridge Angels,3,2,Salisbury FC,858
,,"Thompson (13'), Leahy (48'), Sutcliffe (70')",,,Sutcliffe (66' og),
11/04/2026,FT,Weston-s-Mare,1,0,Enfield Town,"1,002"
11/04/2026,FT,Worthing,7,2,Dagenham & Redbridge,"3,538"
,,"Spong (26'), Makowski (27', 48'), Jenks (62'), Morton (81'), Cook (90+5'), Dolaghan (90+8')",,,"Connolly (10'), Oteh (57')",
14/04/2026,FT,AFC Totton,2,1,Bath City,
,,Ward (17'),,,Fisher (34'),
14/04/2026,FT,Hornchurch,3,3,Chelmsford City,"1,052"
,,"Poleon (33' pen), Rees (48'), Balanta (54')",,,"Barbrook (5'), Crichlow (16'), Murphy (77')",
14/04/2026,FT,Weston-s-Mare,1,0,Horsham,943
18/04/2026,3pm,Chesham United,v,,Chelmsford City,
18/04/2026,3pm,Chippenham Town,v,,Hornchurch,
18/04/2026,3pm,Dagenham & Redbridge,v,,Weston-s-Mare,
18/04/2026,3pm,Dorking Wanderers,v,,Bath City,
18/04/2026,3pm,Eastbourne Borough,v,,AFC Totton,
18/04/2026,3pm,Ebbsfleet United,v,,Hampton & Richmond Borough,
18/04/2026,3pm,Enfield Town,v,,Slough Town,
18/04/2026,3pm,Farnborough,v,,Tonbridge Angels,
18/04/2026,3pm,Maidenhead United,v,,Dover Athletic,
18/04/2026,3pm,Maidstone Utd,v,,Worthing,
18/04/2026,3pm,Salisbury FC,v,,Horsham,
18/04/2026,3pm,Torquay United,v,,Hemel Hempstead Town,
25/04/2026,12.30pm,AFC Totton,v,,Farnborough,
25/04/2026,12.30pm,Bath City,v,,Maidstone Utd,
25/04/2026,12.30pm,Chelmsford City,v,,Eastbourne Borough,
25/04/2026,12.30pm,Dover Athletic,v,,Chesham United,
25/04/2026,12.30pm,Hampton & Richmond Borough,v,,Enfield Town,
25/04/2026,12.30pm,Hemel Hempstead Town,v,,Salisbury FC,
25/04/2026,12.30pm,Hornchurch,v,,Maidenhead United,
25/04/2026,12.30pm,Horsham,v,,Chippenham Town,
25/04/2026,12.30pm,Slough Town,v,,Dagenham & Redbridge,
25/04/2026,12.30pm,Tonbridge Angels,v,,Torquay United,
25/04/2026,12.30pm,Weston-s-Mare,v,,Dorking Wanderers,
25/04/2026,12.30pm,Worthing,v,,Ebbsfleet United,
28/04/2026,7.45pm,Fifth-placed team,v,,Sixth-placed team,
29/04/2026,7.45pm,Fourth-placed team,v,,Seventh-placed team,
