Pos,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,Worthing,44,24,9,11,96,50,46,81
2,Dorking Wanderers,44,23,9,12,76,57,19,78
3,Torquay United,44,23,8,13,84,59,25,77
4,Hornchurch,44,22,11,11,78,63,15,77
5,Weston-s-Mare,44,23,7,14,60,47,13,76
6,Hemel Hempstead,44,22,9,13,52,46,6,75
7,Ebbsfleet United,44,21,11,12,69,52,17,74
8,Maidenhead United,44,21,10,13,65,41,24,73
9,Maidstone Utd,44,20,11,13,67,47,20,71
10,Chesham,44,21,8,15,66,51,15,71
11,Chelmsford,44,20,10,14,70,59,11,70
12,Dagenham & Redbridge,44,17,12,15,59,59,0,63
13,AFC Totton,44,19,6,19,56,71,-15,63
14,Tonbridge Angels,44,15,12,17,59,62,-3,57
15,Horsham,44,14,14,16,49,50,-1,56
16,Slough,44,14,9,21,64,80,-16,51
17,Hampton & Richmond,44,13,11,20,55,68,-13,50
18,Farnborough,44,13,11,20,65,85,-20,50
19,Dover,44,13,10,21,58,72,-14,49
20,Salisbury FC,44,13,10,21,47,63,-16,49
21,Chippenham Town,44,11,9,24,50,74,-24,42
22,Bath City,44,9,13,22,45,73,-28,40
23,Enfield Town,44,8,13,23,50,79,-29,37
24,Eastbourne Borough,44,8,9,27,54,86,-32,33
