Points,Team,Pos,Zone
87,,,Maximum
86,,,
85,,,"Guaranteed Champions, Predicted Champions"
84,,,Guaranteed Play-Off Semi-Finals
83,,,
82,,,Predicted Runners-Up
81,Worthing,1,
80,,,"Guaranteed Play-Offs, Predicted Play-Off Semi-Finals"
79,,,
78,Dorking Wanderers,2,
77,"Torquay United, Hornchurch","3, 4",Predicted Play-Offs
76,Weston-s-Mare,5,
75,Hemel Hempstead,6,
74,Ebbsfleet United,7,
73,Maidenhead United,8,
72,,,
71,"Maidstone Utd, Chesham","9, 10",
70,Chelmsford,11,
69,,,
68,,,
67,,,
66,,,
65,,,
64,,,
63,"Dagenham & Redbridge, AFC Totton","12, 13",
62,,,
61,,,
60,,,
59,,,
58,,,
57,Tonbridge Angels,14,
56,Horsham,15,
55,,,
54,,,
53,,,
52,,,
51,Slough,16,Predicted Safety
50,"Hampton & Richmond, Farnborough","17, 18",
49,"Dover, Salisbury FC","19, 20",Guaranteed Safety
48,,,
47,,,
46,,,
45,,,
44,,,Predicted Relegation
43,,,
42,Chippenham Town,21,
41,,,
40,Bath City,22,
39,,,
38,,,
37,Enfield Town,23,
36,,,
35,,,
34,,,
33,Eastbourne Borough,24,
