Points,Team,Pos,Zone
88,,,Maximum
87,,,
86,,,Guaranteed Champions
85,,,
84,,,
83,,,Predicted Champions
82,,,
81,,,
80,,,
79,,,
78,,,Predicted Runners-Up
77,,,
76,,,
75,,,
74,,,
73,,,
72,,,
71,,,
70,Arsenal,1,
69,,,
68,,,
67,,,Guaranteed Champions League
66,,,Guaranteed Europa League
65,,,
64,Manchester City (-1),2,
63,,,
62,,,Predicted Champions League
61,,,
60,,,
59,,,
58,,,
57,,,Predicted Europa League
56,,,
55,"Manchester United, Aston Villa","3, 4",
54,,,
53,,,
52,Liverpool,5,
51,,,
50,,,
49,,,Guaranteed Safety
48,Chelsea,6,
47,"Brentford, Everton","7, 8",
46,"Brighton and Hove Albion, Sunderland","9, 10",
45,Bournemouth,11,
44,Fulham,12,
43,,,
42,"Crystal Palace (-1), Newcastle United","13, 14",
41,,,
40,,,
39,,,
38,,,Predicted Safety
37,,,
36,Leeds United,15,Predicted Relegation
35,,,
34,,,
33,Nottingham Forest,16,
32,West Ham United,17,
31,,,
30,Tottenham Hotspur,18,
29,,,
28,,,
27,,,
26,,,
25,,,
24,,,
23,,,
22,,,
21,,,
20,Burnley,19,
19,,,
18,,,
17,Wolverhampton Wanderers,20,
